S.no,Wave,Job_name,Job_type,Box_name,Application,Application Owner,,,,
713002,Wave4,pmmdw_itsc_etl_go,FW,,pmmdw,MA US MI-ETL Implementers,A1,No,No,No
713003,Wave4,pmmdw_mrr_monthly_feed_ftp,CMD,,pmmdw,MA US MI-ETL Implementers,A1,No,No,No
713004,Wave4,pmmdw_mrr_monthly_feed_cmd,CMD,,pmmdw,MA US MI-ETL Implementers,A1,No,No,No
713005,Wave4,pmmdw_mrr_mon_feed_failure,CMD,,pmmdw,MA US MI-ETL Implementers,A1,No,No,No
713006,Wave4,pmmdw_comp_mon_del_flags,CMD,,pmmdw,MA US MI-ETL Implementers,A1,No,No,No
713007,Wave4,pmmdw_itsc_wtch_data_mrr_done,FW,,pmmdw,MA US MI-ETL Implementers,A2,No,No,No
713008,Wave4,pmmdw_its_cbr2_ftp_monthly,CMD,,pmmdw,MA US MI-ETL Implementers,A2,No,No,No
713009,Wave4,pmmdw_its_run_batch_monthly,CMD,,pmmdw,MA US MI-ETL Implementers,A2,No,No,No
713010,Wave4,pmmdw_its_email_pmrt_fail_mon,CMD,,pmmdw,MA US MI-ETL Implementers,A2,No,No,No
713011,Wave4,pmmdw_etl_fil_rem,CMD,,pmmdw,MA US MI-ETL Implementers,A2,No,No,No
713012,Wave4,pmmdw_its_email_ftp_fail_mon,CMD,,pmmdw,MA US MI-ETL Implementers,A2,No,No,No
713013,Wave2,pmmdw_itsc_wtch_data_wtr_done,FW,,pmmdw,MA US MI-ETL Implementers,A3,No,No,No
713014,Wave2,pmmdw_itsc_run_batch_mon,CMD,,pmmdw,MA US MI-ETL Implementers,A3,No,No,No
713015,Wave2,pmmdw_itsc_email_pmrt_fail_mon,CMD,,pmmdw,MA US MI-ETL Implementers,A3,No,No,No
713016,Wave2,pmmdw_etl_fil_rem_wtr,CMD,,pmmdw,MA US MI-ETL Implementers,A3,No,No,No
713017,Wave2,pmdba_d_call_rman_hot_oltp21,CMD,,pmdba,MA GL Database Management,A4,No,No,No
713018,Wave2,pmdba_d_call_rman_arch_oltp21,CMD,,pmdba,MA GL Database Management,A4,No,No,No
713019,Wave2,mebwd_hotbk_bwprod18,CMD,,mebwd,Mercer Global DBA Oracle,A5,No,No,No
713020,Wave2,punx_save_bkup_bwprod18,CMD,,punx,MGTI GL Backup Prod Support,A5,No,No,No
713021,Wave2,mebwd_hotbk_dd_bwprod18,CMD,,mebwd,Mercer Global DBA Oracle,A5,No,No,No
713022,Wave2,mebwd_hotbk_bwprod10,CMD,,mebwd,Mercer Global DBA Oracle,A6,No,No,No
713023,Wave2,punx_save_bkup_bwprod10,CMD,,punx,MGTI GL Backup Prod Support,A6,No,No,No
713024,Wave2,mebwd_hotbk_dd_bwprod10,CMD,,mebwd,Mercer Global DBA Oracle,A6,No,No,No
713025,Wave3,mebwd_hotbk_bwprod07,CMD,,mebwd,Mercer Global DBA Oracle,A7,No,No,No
713026,Wave3,punx_save_bkup_bwprod07,CMD,,punx,MGTI GL Backup Prod Support,A7,No,No,No
713027,Wave3,mebwd_hotbk_dd_bwprod07,CMD,,mebwd,Mercer Global DBA Oracle,A7,No,No,No
713028,Wave3,owmsg_d_ev_box,BOX,,owmsg,  MGTI AP Messaging Support     ,A8,No,No,No
713029,Wave3,owmsg_d_ev_ro_box,BOX,owmsg_d_ev_box,owmsg,  MGTI AP Messaging Support     ,A8,No,No,No
713030,Wave3,owbkp_d_ev_backup_box,BOX,owmsg_d_ev_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713031,Wave3,owmsg_d_ev_start_box,BOX,owmsg_d_ev_box,owmsg,  MGTI AP Messaging Support     ,A8,No,No,No
713032,Wave3,owbkp_d_ev_backup2_box,BOX,owmsg_d_ev_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713033,Wave3,owmsg_d_ev_dfw_stop_index1a,CMD,owmsg_d_ev_ro_box,owmsg,  MGTI AP Messaging Support     ,A8,No,No,No
713034,Wave3,owbkp_d_ev_dfw_fingerprint,CMD,owbkp_d_ev_backup_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713035,Wave3,owbkp_d_ev_dfw_audit,CMD,owbkp_d_ev_backup_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713036,Wave3,owbkp_d_ev_dfw_index1,CMD,owbkp_d_ev_backup_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713037,Wave3,owbkp_d_ev_dfw_vault,CMD,owbkp_d_ev_backup_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713038,Wave3,owbkp_d_ev_dfw_dir_mon,CMD,owbkp_d_ev_backup_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713039,Wave3,owmsg_d_ev_dfw_start_index1a,CMD,owmsg_d_ev_start_box,owmsg,  MGTI AP Messaging Support     ,A8,No,No,No
713040,Wave3,owbkp_d_ev_dfw_data,CMD,owbkp_d_ev_backup2_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713041,Wave3,owbkp_d_ev_dfw_data1,CMD,owbkp_d_ev_backup2_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713042,Wave3,owbkp_d_ev_dfw_data2,CMD,owbkp_d_ev_backup2_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713043,Wave3,owbkp_d_ev_dfw_data3,CMD,owbkp_d_ev_backup2_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713044,Wave3,owbkp_d_ev_dfw_data4,CMD,owbkp_d_ev_backup2_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713045,Wave3,owbkp_d_ev_dfw_data5,CMD,owbkp_d_ev_backup2_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713046,Wave3,owbkp_d_ev_dfw_data6,CMD,owbkp_d_ev_backup2_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713047,Wave3,owbkp_d_ev_dfw_data7,CMD,owbkp_d_ev_backup2_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713048,Wave3,owbkp_d_ev_dfw_datafs,CMD,owbkp_d_ev_backup2_box,owbkp,MGTI GL Backup Implement,A8,No,No,No
713049,Wave3,pacc_owmsg_d_ev_box_status_email_on_completion,CMD,,pacc,MGTI GL RlseMgt-Support,A8,No,No,No
713050,Wave3,owmsg_w_ev_box,BOX,,owmsg,  MGTI AP Messaging Support     ,A9,No,No,No
713051,Wave3,owmsg_w_ev_ro_box,BOX,owmsg_w_ev_box,owmsg,  MGTI AP Messaging Support     ,A9,No,No,No
713052,Wave3,owbkp_w_ev_backup_box,BOX,owmsg_w_ev_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713053,Wave3,owmsg_w_ev_start_box,BOX,owmsg_w_ev_box,owmsg,  MGTI AP Messaging Support     ,A9,No,No,No
713054,Wave3,owbkp_w_ev_backup2_box,BOX,owmsg_w_ev_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713055,Wave3,owmsg_w_ev_dfw_stop_index1a,CMD,owmsg_w_ev_ro_box,owmsg,  MGTI AP Messaging Support     ,A9,No,No,No
713056,Wave3,owbkp_w_ev_dfw_fingerprint,CMD,owbkp_w_ev_backup_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713057,Wave3,owbkp_w_ev_dfw_audit,CMD,owbkp_w_ev_backup_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713058,Wave3,owbkp_w_ev_dfw_index1,CMD,owbkp_w_ev_backup_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713059,Wave3,owbkp_w_ev_dfw_vault,CMD,owbkp_w_ev_backup_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713060,Wave3,owbkp_w_ev_dfw_dir_mon,CMD,owbkp_w_ev_backup_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713061,Wave3,owmsg_w_ev_dfw_start_index1a,CMD,owmsg_w_ev_start_box,owmsg,  MGTI AP Messaging Support     ,A9,No,No,No
713062,Wave3,owbkp_w_ev_dfw_data,CMD,owbkp_w_ev_backup2_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713063,Wave3,owbkp_w_ev_dfw_data1,CMD,owbkp_w_ev_backup2_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713064,Wave3,owbkp_w_ev_dfw_data2,CMD,owbkp_w_ev_backup2_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713065,Wave3,owbkp_w_ev_dfw_data3,CMD,owbkp_w_ev_backup2_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713066,Wave3,owbkp_w_ev_dfw_data4,CMD,owbkp_w_ev_backup2_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713067,Wave3,owbkp_w_ev_dfw_data5,CMD,owbkp_w_ev_backup2_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713068,Wave3,owbkp_w_ev_dfw_data6,CMD,owbkp_w_ev_backup2_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713069,Wave3,owbkp_w_ev_dfw_data7,CMD,owbkp_w_ev_backup2_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713070,Wave3,owbkp_w_ev_dfw_datafs,CMD,owbkp_w_ev_backup2_box,owbkp,MGTI GL Backup Implement,A9,No,No,No
713071,Wave3,pacc_owmsg_w_ev_box_status_email_on_completion,CMD,,pacc,MGTI GL RlseMgt-Support,A9,No,No,No
713072,Wave4,mmamsg_d_ev_apac_box,BOX,,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713073,Wave4,mmamsg_d_ev_apac_ro_box,BOX,mmamsg_d_ev_apac_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713074,Wave4,mmbkp_d_ev_apac_backup_box,BOX,mmamsg_d_ev_apac_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713075,Wave4,mmamsg_d_ev_apac_start_box,BOX,mmamsg_d_ev_apac_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
