JOBNAME,CHANGED_JOBNAME,insert_job,box_name,condition
pacc_test_tlit_box_put4dextr_putxfer,pacc_test_tlit_box_put4dextr_putxfer,pacc_test_tlit_box_put4dextr_putxfer : dmz_pacc_test_tlit_box_put4dextr_putxfer,,
mepsie_box_d_spp81_app_stop,mepsie_box_d_spp81_app_stop,mepsie_box_d_spp81_app_stop : dmz_mepsie_box_d_spp81_app_stop,,
mamway_d_marshwaybix_usprd1was01pga,mamway_d_marshwaybix_usprd1was01pga,mamway_d_marshwaybix_usprd1was01pga : dmz_mamway_d_marshwaybix_usprd1was01pga,,
mamway_d_marshwaybix_usprd1was02pga,mamway_d_marshwaybix_usprd1was02pga,mamway_d_marshwaybix_usprd1was02pga : dmz_mamway_d_marshwaybix_usprd1was02pga,,
pingtest,pingtest,pingtest : dmz_pingtest,,
pmmacc_r_nonwin_dmz_box,pmmacc_r_nonwin_dmz_box,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,,
pmmacc_r_nonwin_dmz_box,pmmacc_r_tst_dmzautosys_usfkl21as78,,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,
pmmacc_r_nonwin_dmz_box,pmmacc_r_tst_dmzautosys_usfkl21as95,,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,
pmmacc_r_nonwin_dmz_box,pmmacc_r_tst_dmzautosys_usfkl21as86,,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,
pmmacc_r_nonwin_dmz_box,pmmacc_r_tst_dmzautosys_usfkl21as225v,,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,
pmmacc_r_nonwin_dmz_box,pmmacc_r_tst_dmzautosys_usfkl21db94vcn1,,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,
pmmacc_r_nonwin_dmz_box,pmmacc_r_tst_dmzautosys_usfkl21db94vcn2,,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,
pmmacc_r_nonwin_dmz_box,pmmacc_r_tst_dmzautosys_usfkl21db94vcn3,,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,
pmmacc_r_nonwin_dmz_box,pmmacc_r_tst_dmzautosys_usfkl21as86.mrshmc.com,,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,
pmmacc_r_nonwin_dmz_box,pmmacc_r_tst_autosys_usfkl21as337vcn1,,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,
pmmacc_r_nonwin_dmz_box,pmmacc_r_tst_autosys_usfkl21as337vcn2,,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,
pmmacc_r_nonwin_dmz_box,pmmacc_r_tst_autosys_usfkl21as337vcn1_elk,,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,
pmmacc_r_nonwin_dmz_box,pmmacc_r_tst_dmzautosys_usdf21v0516,,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,
pmmacc_r_nonwin_dmz_box,pmmacc_r_tst_dmzautosys_usdfw21db72v,,pmmacc_r_nonwin_dmz_box : dmz_pmmacc_r_nonwin_dmz_box,
pmmacc_r_tst_dmzautosys_usfkl21as78,pmmacc_r_tst_dmzautosys_usfkl21as78,pmmacc_r_tst_dmzautosys_usfkl21as78 : dmz_pmmacc_r_tst_dmzautosys_usfkl21as78,,
pmmacc_r_tst_dmzautosys_usfkl21as95,pmmacc_r_tst_dmzautosys_usfkl21as95,pmmacc_r_tst_dmzautosys_usfkl21as95 : dmz_pmmacc_r_tst_dmzautosys_usfkl21as95,,
pmmacc_r_tst_dmzautosys_usfkl21as86,pmmacc_r_tst_dmzautosys_usfkl21as86,pmmacc_r_tst_dmzautosys_usfkl21as86 : dmz_pmmacc_r_tst_dmzautosys_usfkl21as86,,
pmmacc_r_tst_dmzautosys_usfkl21as225v,pmmacc_r_tst_dmzautosys_usfkl21as225v,pmmacc_r_tst_dmzautosys_usfkl21as225v : dmz_pmmacc_r_tst_dmzautosys_usfkl21as225v,,
pmmacc_r_tst_dmzautosys_usfkl21db94vcn1,pmmacc_r_tst_dmzautosys_usfkl21db94vcn1,pmmacc_r_tst_dmzautosys_usfkl21db94vcn1 : dmz_pmmacc_r_tst_dmzautosys_usfkl21db94vcn1,,
pmmacc_r_tst_dmzautosys_usfkl21db94vcn2,pmmacc_r_tst_dmzautosys_usfkl21db94vcn2,pmmacc_r_tst_dmzautosys_usfkl21db94vcn2 : dmz_pmmacc_r_tst_dmzautosys_usfkl21db94vcn2,,
pmmacc_r_tst_dmzautosys_usfkl21db94vcn3,pmmacc_r_tst_dmzautosys_usfkl21db94vcn3,pmmacc_r_tst_dmzautosys_usfkl21db94vcn3 : dmz_pmmacc_r_tst_dmzautosys_usfkl21db94vcn3,,
pmmacc_r_tst_dmzautosys_usfkl21as86.mrshmc.com,pmmacc_r_tst_dmzautosys_usfkl21as86.mrshmc.com,pmmacc_r_tst_dmzautosys_usfkl21as86.mrshmc.com : dmz_pmmacc_r_tst_dmzautosys_usfkl21as86.mrshmc.com,,
pmmacc_r_tst_autosys_usfkl21as337vcn1,pmmacc_r_tst_autosys_usfkl21as337vcn1,pmmacc_r_tst_autosys_usfkl21as337vcn1 : dmz_pmmacc_r_tst_autosys_usfkl21as337vcn1,,
pmmacc_r_tst_autosys_usfkl21as337vcn2,pmmacc_r_tst_autosys_usfkl21as337vcn2,pmmacc_r_tst_autosys_usfkl21as337vcn2 : dmz_pmmacc_r_tst_autosys_usfkl21as337vcn2,,
pmmacc_r_tst_autosys_usfkl21as337vcn1_elk,pmmacc_r_tst_autosys_usfkl21as337vcn1_elk,pmmacc_r_tst_autosys_usfkl21as337vcn1_elk : dmz_pmmacc_r_tst_autosys_usfkl21as337vcn1_elk,,
pmmacc_r_tst_dmzautosys_usdf21v0516,pmmacc_r_tst_dmzautosys_usdf21v0516,pmmacc_r_tst_dmzautosys_usdf21v0516 : dmz_pmmacc_r_tst_dmzautosys_usdf21v0516,,
pmmacc_r_tst_dmzautosys_usdfw21db72v,pmmacc_r_tst_dmzautosys_usdfw21db72v,pmmacc_r_tst_dmzautosys_usdfw21db72v : dmz_pmmacc_r_tst_dmzautosys_usdfw21db72v,,
pmmacc_r_win_dmz_box,pmmacc_r_win_dmz_box,pmmacc_r_win_dmz_box : dmz_pmmacc_r_win_dmz_box,,
pmmacc_r_win_dmz_box,pmmacc_r_tst_dmzautosys_usfkl11db11ci1,,pmmacc_r_win_dmz_box : dmz_pmmacc_r_win_dmz_box,
pmmacc_r_win_dmz_box,pmmacc_r_tst_dmzautosys_usfkl11db11cn1,,pmmacc_r_win_dmz_box : dmz_pmmacc_r_win_dmz_box,
pmmacc_r_win_dmz_box,pmmacc_r_tst_dmzautosys_usfkl11db11cn2,,pmmacc_r_win_dmz_box : dmz_pmmacc_r_win_dmz_box,
pmmacc_r_win_dmz_box,pmmacc_r_tst_dmzautosys_usfkl11db11cn3,,pmmacc_r_win_dmz_box : dmz_pmmacc_r_win_dmz_box,
pmmacc_r_win_dmz_box,pmmacc_r_tst_dmzautosys_usfkl11db11ci2,,pmmacc_r_win_dmz_box : dmz_pmmacc_r_win_dmz_box,
pmmacc_r_win_dmz_box,pmmacc_r_tst_dmzautosys_usfkl11db11cn3_kms,,pmmacc_r_win_dmz_box : dmz_pmmacc_r_win_dmz_box,
pmmacc_r_tst_dmzautosys_usfkl11db11ci1,pmmacc_r_tst_dmzautosys_usfkl11db11ci1,pmmacc_r_tst_dmzautosys_usfkl11db11ci1 : dmz_pmmacc_r_tst_dmzautosys_usfkl11db11ci1,,
