JOBNAME,CONDITION_JIL_JOBS,CONDITION_XML_JOBS
mmbkp_w_sun_ev_emea_mountclones_box,mmbkp_w_sun_ev_emea_backup_box,mmbkp_w_sun_ev_emea_backup_box_ENDED_OK
mmemsg_w_ev_emea_box,mmemsg_d_ev_emea_box;mmemsg_w_sun_ev_emea_box,mmemsg_d_ev_emea_box_ENDED_OK;mmemsg_w_sun_ev_emea_box_ENDED_OK
mmemsg_w_ev_emea_exe_index3_resetarchive,mmbkp_w_ev_emea_exe_index3_refreshclone,mmbkp_w_ev_emea_exe_index3_refreshclone_ENDED_OK
mmemsg_w_ev_emea_exe_index4_resetarchive,mmbkp_w_ev_emea_exe_index4_refreshclone,mmbkp_w_ev_emea_exe_index4_refreshclone_ENDED_OK
mmemsg_w_ev_emea_bed_index4_resetarchive,mmbkp_w_ev_emea_bed_index4_refreshclone,mmbkp_w_ev_emea_bed_index4_refreshclone_ENDED_OK
mmemsg_w_ev_emea_bed_index5_resetarchive,mmbkp_w_ev_emea_bed_index5_refreshclone,mmbkp_w_ev_emea_bed_index5_refreshclone_ENDED_OK
mmemsg_w_ev_emea_bed_index6_resetarchive,mmbkp_w_ev_emea_bed_index6_refreshclone,mmbkp_w_ev_emea_bed_index6_refreshclone_ENDED_OK
mmemsg_w_ev_emea_exe_index5_resetarchive,mmbkp_w_ev_emea_exe_index5_refreshclone,mmbkp_w_ev_emea_exe_index5_refreshclone_ENDED_OK
mmemsg_w_ev_emea_bed_index7_resetarchive,mmbkp_w_ev_emea_bed_index7_refreshclone,mmbkp_w_ev_emea_bed_index7_refreshclone_ENDED_OK
mmbkp_w_ev_emea_backup_box,mmemsg_w_ev_emea_fw,mmemsg_w_ev_emea_fw_ENDED_OK
mmemsg_w_ev_emea_start_box,mmbkp_w_ev_emea_backup_box,mmbkp_w_ev_emea_backup_box_ENDED_OK
mmbkp_w_ev_emea_mountclones_box,mmbkp_w_ev_emea_backup_box,mmbkp_w_ev_emea_backup_box_ENDED_OK
mmbkp_w_ev_emea_buclones_box,mmbkp_w_ev_emea_mountclones_box,mmbkp_w_ev_emea_mountclones_box_ENDED_OK
mmbkp_w_ev_emea_unmountclones_box,mmbkp_w_ev_emea_buclones_box,mmbkp_w_ev_emea_buclones_box_ENDED_OK
