JOBNAME,DESCRIPTION,MACHINE NAME,COMMAND,JOB TYPE
mmamsg_w_ev_apac_mel_index2_resetarchive,"Reset Archive Bit",aumel11xv03.mrshmc.com,C\:\windows\system32\attrib -A G\:* /S,CMD
mmamsg_w_ev_apac_syd_index2_resetarchive,"Reset Archive Bit",ausyd11xv03.mrshmc.com,C\:\windows\system32\attrib -A G\:* /S,CMD
mmamsg_w_ev_apac_mel_index3_resetarchive,"Reset Archive Bit",aumel11xv04.mrshmc.com,C\:\windows\system32\attrib -A G\:* /S,CMD
mmamsg_w_ev_apac_syd_index3_resetarchive,"Reset Archive Bit",ausyd11xv04.mrshmc.com,C\:\windows\system32\attrib -A G\:* /S,CMD
mmemsg_w_ev_emea_bed_index4_resetarchive,"Reset Archive Bit",gbbed11xv08.mrshmc.com,c\:\windows\system32\attrib -A G\:* /S,CMD
mmemsg_w_ev_emea_bed_index5_resetarchive,"Reset Archive Bit",gbbed11xv09.mrshmc.com,c\:\windows\system32\attrib -A J\:* /S,CMD
mmemsg_w_ev_emea_bed_index6_resetarchive,"Reset Archive Bit",gbbed11xv10.mrshmc.com,c\:\windows\system32\attrib -A M\:* /S,CMD
mmemsg_w_ev_emea_exe_index5_resetarchive,"Reset Archive Bit",gbexe11xv07.mrshmc.com,c\:\windows\system32\attrib -A J\:* /S,CMD
mmemsg_w_ev_emea_bed_index7_resetarchive,"Reset Archive Bit",gbbed11xv11.mrshmc.com,c\:\windows\system32\attrib -A M\:* /S,CMD
mmuxbau_hoefer_d_prod_ablage_dump,"ablage_dump_daily",gbexe21db22.eu.mrshmc.com,/u/bin/change_backup/ablage_dump_daily,CMD
pmmacc_r_tst_autosys_broadway.mrshmc.com,"test autosys (owner was storadm)",broadway.mrshmc.com,/bin/date,CMD
pmmacc_r_tst_autosys_gbbed31bs01,"test autosys",gbbed31bs01,/bin/date,CMD
pmmacc_r_tst_autosys_usfkl21db54cn1,"test autosys",usfkl21db54cn1,/bin/date,CMD
pmmacc_r_tst_autosys_USDFW31DB08CN1,"test autosys",USDFW31DB08CN1,/bin/date,CMD
